date,rating,review
1년 전,별표 5개,"  대한민국 No.1 명소   From 1395년, 조선시대 왕궁   수문장 교대식이 압권   근정전, 경회루, 향원정  1. 전체 boundary가 대략 700M x 600M임 2. 관람동선은 1) 정문의 수문교대식 2) 좌측의 국립 고궁박물관 관람 3) 중앙의 근정전 -  경회루 -  향원정 4) 우측의 자경전, 사정전 등 동궁 5) 우측의 국립 민속박물관 으로 함이 가장 이상적임 3. 경복궁의 하이라이트는,, 1)  근정전    국보 223호로, 조선시다 국왕의 즉위식과 공식행사가 열렸던 법전임 2) 경회루   연못위에 세위진 누각으로 왕이 신하들과 연회를 열거나 외국 사신을 접대하던 장소 3) 향원정   아름다운 정원과 연못이 어우러진 정자로 포토존 맛집임 4. 하루 내내 촘촘하게 Docent 프로그램 있으며 근처 Shop에서 한복 대여하여 입고 입장하면 No charge로 입장가능함"
1년 전,별표 5개,2023-08-15 경복궁  815이니 의미 있게 대한민국의 과거 돌아보는 여행을 했다. 는 개뿔... 아침부터 갈 곳이 없어 갈 수 있는 곳을 향했다.    쉬는 요일이지만 다행히 공휴일은 열어준다고 한다.  햇볕이 강하게 내려쬈지만 미리 양산을 챙겨둬서 다행이다.  짐을 맡겨두고 천천히 이곳저곳 둘러본다.  아니 그런데 왜 이렇게 가는 길마다 벽이 막혀있는 거야...  외국인 관광객도 참 많았는데 대다수가 한복을 빌려 입고 돌아다녔다.  아 그런데 중국인들 진짜 시끄럽네... 가까이서 이야기하면 될걸 왜 수 미터 떨어져서 시끄럽게 소리 지르면서 대화하는 걸까...  
1년 전,별표 5개,"중앙청(구 조선총독부) 있던 시절보다 복원이 많이 되어서 기대했던 것보다 상당히 건물이 많이 들어서 있다. 그리고 생각보다 궁궐이 넓어서 천천히 한 바퀴 도는데 1시간 이상 걸린다. 동선은, 광화문 흥례문 근정문 근정전 사정전 강녕전 교태전 경회루 향원정까지 일직선으로 가면 왠만한 건물을 다 볼 수 있다. 안에 있는 민속박물관은 크기는 하지만 별로 볼 것은 없고, 시간이 남는다면 고궁박물관에 있는 궁중 유물들도 꼭 볼 것을 권한다.  주차요금은 은근히 비싸서 2시간에 8,000원 (1시간 3,000원 그 이후 10분마다 800원)"
1년 전,별표 5개,"사전예약으로 경회루를 입장할 수 있었어요. 늘 밖에서 보던 경회루를 직접 안으로 들어와서 보고, 듣다 보니 정말 좋네요."
수정일: 1년 전,별표 5개,25.04.09 봄의 경회루 구경. ㅎ 한국사람들만 한복은 안 입은듯? 언제 한번 한복을 제대로 차려입고 방문하여 보여주고 싶었다. 너무 무대복??같은 한복이 거슬리기는 했지만 그래도 재미있어 하는 외국인들을 보면서  따뜻한 봄을 즐겼다.   24.11.28 목 오늘은 어제 첫눈폭설로 나뭇가지가 많이 부러지는 통에 정리를 위해 오후 1시에 개장한다고 합니다. 참고하세요.  평일인데도 관광객들이 많았다. 단체 학생들의 웃음소리로 고즈녁한 분위기는 없었지만 또 다른 생동감을 느낄수 있어  좋았다.  가을에 왔었으면 좋았을텐데  하는 아쉬움이 가득했지만 이제라도 와서 다행이다! 하며 눈이 펑펑 오는 날에  또 방문하리라 약속하고  왔다.  봄날에 재방문하면서 사진이 아닌 경회루에서 수양벚꽃의 아름다움에 취해본다.
1년 전,별표 5개,"한국인보다는 관광객이 더 많아요. 한국에 오면 한번 정도는 가보는게 좋을듯 합니다. 창경궁이나 창덕궁도 같이 가보셔도 좋습니다. 그리고 바로 옆에 서촌도 같이 들려서 맛있는것도 먹고, 이쁜 옷이 있는 매장도 많으니 같이 보세요"
9개월 전,별표 5개,다른 어떤 고궁보다 평지라서 어르신들과 아이들과 오기에 좋습니다. 무엇보다 전철역 근처이고 궁 주변으로 국립현대미술관.  아니면 반대쪽은 광화문. 다른쪽으로는 삼청동 쪽이라서 경복궁을 구경하고 주변 관광지도 같이 볼 수 있다는 장점이 있습니더. 초 가을에 오니까.  바닥으로 도토리떨어지는 서리도 듣고 굉장히 조용한 산책 시간을 가졌습다 그리고 빌딩숲 사이에 있는 한옥의 정취를 흠뻑 느낄 수 있았습니다.  여기에서 뒷길로 나가면 황생가 칼국수 집이 있습니다. 산책하고 황생가 칼국수 먹고 바로 옆에 블루 보틀2층에서 기와 뷰를 보면서 커피 마시면 반나절 코스로 추천드립니다
11개월 전,별표 5개,"근정전과 경회루, 그 외 일부 건물을 제외하면 전부 최근 복원 사업으로 만들어졌다고 합니다  그래도 멋집니다"
3개월 전,별표 5개,서울에 고궁이자 왕이사는곳 21세기 대군부인의 촬영지
1년 전,별표 5개,종로에 위치한 경복궁은 3000원에 매표하고 입장하고 한번 나가면 재입장은 불가능 합니다  겨울이다 보니 경복궁의 아름다운 정원과 연못은 볼 수 없었어요  한복을 입으면 입장료가 무료라 외국인 분들이 경복궁을 포함한 한국의 문화재를 관람하는 모습을 보니 괜히 뿌듯해졌습니다  주변에 한복을 대여해 주는 업체가 많아 아이와 같이오면 색다른 경험을 할 수 있을거 같아요  정기적으로 왕실 경비 교대식도 열리는데 매일 10시와 14시에 방문 하면 수문장 교대의식도 볼 수 있습니다  주변에 다양한 관광지와 카페 맛집들이 많아 주말 가족단위 방문하기도 좋을거 같아요
1년 전,별표 5개,"경복궁은 서울의 중심에 자리 잡은 조선시대의 대표적인 궁궐입니다. 광화문을 들어서는 순간, 웅장한 규모와 섬세한 건축 양식에 압도됩니다. 넓은 궁궐 곳곳에는 역사적 이야기가 깃든 전각들이 자리하고 있어, 마치 시간 여행을 하는 듯한 느낌을 줍니다. 특히, 경회루의 아름다운 연못과 웅장한 누각은 감탄을 자아냅니다. 사계절 각기 다른 매력을 뽐내는 경복궁은 봄에는 화려한 꽃들이 만발하고, 가을에는 단풍으로 물들어 아름다운 풍경을 선사합니다. 또한, 수문장 교대식은 놓쳐서는 안 될 볼거리 중 하나입니다. 경복궁은 한국의 역사와 문화를 생생하게 체험할 수 있는 곳으로, 남녀노소 누구나 즐길 수 있는 매력적인 공간입니다."
9개월 전,별표 5개,3번째 방문인데 많이 바뀌어서 아주 좋았습니다 기억 갱신하는게 취미인데 완전 만족합니다~ 외국인이 많아서 은근 국뽕찹니다 ㅋㅋ  
1년 전,별표 5개,한복 입고 관람하는 외국인이 많아서 자랑스럽기도 하고 뿌듯합니다. 대한민국의 자랑스런 문화유산!
7개월 전,별표 5개,걷기 좋은 경복궁 입장료 3천원은 너무싸다!!
1년 전,별표 5개,"대한민국의 역사가 숨지는 곳. 서울에서 거주한 지 약 17년.. 근처는 많이 지나갔지만 경북궁 내부는 처음 방문해 본다. 왜 이제야 와 봤을까~ 살짝 후회될 정도로 정말 멋지고 아름다웠다. 가보지 않았다면 꼭 한번 방문해 보는거 추천한다.    The place where the history of the Republic of Korea dies. It has been 17 years since I lived in Seoul. Many people have passed by, but it is my first time to visit the inside of Gyeongsangbuk-do Palace. Why did I come here just now? It was so wonderful and beautiful that I regret a little bit."
수정일: 7개월 전,별표 5개,25.10.19 방문. 4시간 30분 소요. 경회루 사전 예약해서 입장. 유모차 가능. 너무 좋았다.
1년 전,별표 5개,즉흥적으로 오랜만에 경복궁으로 발길을 옮겨 보았습니다. 오후 5시 정도 방문~ 한복을 입고 방문한 외국인이 많네요. 행사도 하니 미리 알아보고 가면 더 좋을 것 같아요. 가족들과 친구와 함께 가을을 맞이하여 궁을 방문하면 좋은 것 같습니다.
1년 전,별표 5개,"한번쯤 꼭 방문해보자.  이왕이면 해설사의 설명을 들어보자. 개보수하면서 틀어졌던 부분, 궁궐 건립시 중시했던 사상 등.. 많은 오해에서 벗어나는 자신을  발견할수 있다."
2년 전,별표 5개,"한국의 고궁 중 가장 규모가 큰 곳입니다. 근정전부터 경회루, 향원정까지 여러 건축물과 정취를 느낄 수 있습니다. 한복을 입고 고궁을 거니는 특별한 경험을 할 수도 있고,  교태전 뒷뜰의 아름다운 굴뚝과 함께 어울리는 정원을 감상할 수도 있습니다."
1년 전,별표 5개,"경복궁은 정말 아름다웠습니다. 전통 건축물의 웅장함과 섬세한 디테일이 인상적이었으며, 고즈넉한 분위기 속에서 한국의 역사를 생생하게 느낄 수 있었습니다. 서울의 번잡함 속에서도 이곳에 오면 고요함과 평온함을 느낄 수 있어 매우 좋았습니다."
