rating,date,review
5.0,2023.08.07.,처음 경복궁 가봤는데 입장료도 무료에 풍경도 예뻐서 마음에 들었어요! 다음번에는 좀더 여유로울때 가서 세세하게 구경하고 싶어요
5.0,2023.06.29.,"그냥 구경다니는 것보다 해설 들으며 다니는 게 더 재밌어요. 오전 10시, 오후 2시에 진행하는 수문장교대식도 볼만했고요. 경복궁 내부에는 식수대가 없으니 꼭 물을 챙겨가야해요."
5.0,2023.06.14.,서울에서 경복궁은 꼭 가봐야 함. 다만 근방에 음식점이 없음. 미리 찾아 볼 것
5.0,2023.06.06.,외국잉칭구 사귀기도 좋아요
5.0,2023.05.28.,"올해만도 세번째
장고 열릴 때 처음이라 더욱 좋았다
아무리 가도 좋다
우측의 근현대사거리
자주 봐도 추억 새록
인쇄소자리가 교실로 
교실자리가 목욕탕으로
또한
다방은 커피 제공이 되어 구웃~ 접기"
5.0,2023.05.22.,야간개장 했을 때 들렸는데 너무 분위기 좋았어요
5.0,2023.05.03.,날씨 좋을 때 꼭 가보세요~!
5.0,2023.04.27.,"2023년4월27일 목요일 평일인데 
외국인,관광객이 많다."
5.0,2023.03.30.,나들이
5.0,2023.02.17.,Nice palace
5.0,2022.08.21.,"해설과 함께 둘러보시는걸 추천합니다
가을에 또 올거에요"
5.0,2026.07.21.,경복궁 너무이쁘구용 한복대여하면 무료니까 꼭 한번쯤은 한복대야하세용 추천하께엽 그리고 뷰가너무 좋차느아아!짱입니닷 감샤해용
5.0,2026.07.16.,경복궁!
5.0,2026.06.08.,"야간개장으로 다녀왔습니다!
낮과는 또 다른 분위기와 단아한 화려함이 돋보여서 좋았습니다!
제미나이한테 장소에 대한 설명과 여기에 얽힌 재미있는 이야기를 들려달라고 부탁하며 여기저기 다니니, 금방 해가 지고 조명이 밝아지더라구요 ㅎㅎ
확실히 외국인도 많고 한국인도 많고 그냥 사람이 많습니다 전파가 안터졌었어요 ㅋㅋㅋ 접기"
5.0,2026.06.07.,3천원으로 충분히 즐길수있음
5.0,2026.06.03.,체험학습으로 감
5.0,2026.05.18.,"한번 이상 다시 가보고 싶은 곳입니다.
한국은 역사가 살아 숨쉬는 곳 경복궁 꼭 가보세요~~"
5.0,2026.05.16.,이게 한국이다
5.0,2026.05.16.,"서울 5대 고궁 중에는, 제일 웅장하고 멋집니다. 오늘날의 '연회장'인 '경회루'를 배경으로 사진 찍으면, 인생사진을 건질 수 있어요.

※ 경복궁 1분 하이라이트 (10배속 쇼츠)
https://youtube.com/shorts/ntD21D-qHrQ?si=stjrIk_KD1Pi0S5N

조선 시대의 시작과 함께했던 조선왕조 제일의 법궁 이었지만, 14대 왕 '선조'때 임진왜란으로 소실되어, 무려 270여년 후인 26대 왕이자 초대 대한제국 황제였던 '고종'때 비로소 복구가 시작 되었습니다. (일제강점기 때, 일제에 의해 대부분 철거되는 아픈 역사가 또...)

※ 초고속 입장 TIP
최근 외국인 여행객 급증에 입구 들어가는 줄이 어마어마하게 긴 데, 동쪽 <국립민속박물관> 쪽으로 들어가면 바로 들어갈 수 있습니다. (경복궁 정문에서 약 10~15분 걸어가야 됨)

경회루 특별관람은 미리 예약 하셔야 해요.
(매주 화요일, 법정공휴일, 7월 휴무
https://royal.khs.go.kr/ROYAL/contents/R601000000.do?schGroupCode=gbg&schGroupCodeNm=%EA%B2%BD%EB%B3%B5%EA%B6%81)

※ 근처 가볼만한 곳
서쪽방향 : 토속촌 삼계탕,
도량 (넷플릭스 ""흑백요리사"" 동파육 맛집)
오쁘띠베르 (""흑백요리사"" 디저트 카페)
동쪽방향 : 국립현대미술관, 북촌 한옥마을
남쪽 : 광화문 광장, 덕수궁
남동쪽 : 청계천, 인사동 ('열린송현 녹지광장' 들렸다가면, 동선이 딱 맞음. 좀 더 가면 요즘 핫한 익선동 거리) 접기"
5.0,2026.05.11.,"- 경복궁
- 주소 : 서울시 종로구 사직로 161
- 입장료 : 3,000원 / 한복 착용 시 무료
- 주차 : 세종로 공영 주차장 추천
- 관람 시간
1월~2월, 11월~12월 09:00~17:00 (입장마감 16:00)
3월~5월, 9월~10월 09:00~18:00 (입장마감 17:00)
6월~8월 09:00~18:30 (입장마감 17:30)
매주 화요일 휴무

방문 꿀팁
 한복을 입으면 무료 입장이에요.
경복궁뿐만 아니라 5대궁 전체에서
한복 착용 시 무료 입장이 가능해요.
 수문장 교대식은 15분 전에 자리를 잡으세요.
오전 10시·오후 2시 교대의식은 인기가 높아서
시작 직전에 도착하면 좋은 자리를 잡기 어려워요.
 향원정까지 꼭 걸어가 보세요.
입구 근정전만 보고 나오면
경복궁의 절반도 못 즐긴 거예요.

#종로경복궁 #서울관광지도 #역사공부 #전통문화체험 #짤진이 접기"
5.0,2026.05.06.,날씨 좋을때 가면 너무 좋고 시설도 잘 되있어서 좋음!!!!!
4.0,2026.04.01.,"대한민국 수도의 중심이었던 곳. 화려한 장식과 수려한 궁들이 즐비한 이곳. 가끔 노을 보며 구경하면 최고입니다. 이번에 코로나땜에 야간 개장이 중단됬을진 모르겠는 데 시간되면 가보고 싶은 곳.

솔찍히 조선 왕조의 왕궁인니까 5점 드립니다 ㅎㅎ

아 요즘 중국인들 너무 많아서 별점 깎음 ㅉ 접기"
4.0,2026.03.29.,좋아요!!
5.0,2026.03.15.,"냥~!








 접기"
5.0,2026.03.01.,경북궁이 좋은 장소입니다.
5.0,2026.02.14.,우연히 교대의식을 볼 수 있었습니다
5.0,2026.01.30.,"Cheap tickets (free if you go wearing a hanbok traditional outfit), very very big field.

Went during the guards changing ceremony during 14pm.

Definitely worth a visit  접기"
4.0,2026.01.17.,"조선왕조의 역사가 살아있고, 조선 500년 역사를 알아볼 수 있던것 같습니다.
야경도 좋아요"
5.0,2025.12.09.,"경복궁
경복의뜻ㅡ새 왕조가 큰 복을 누려 번영할것
1395년(1대 태조4년) 창건
     남문(사정문)ㅡ동문ㅡ서문  창건
1426년(4대 세종8년) 광화문,건춘문,영추문 호칭
1592년(14대 선조25년) 임진왜란으로 소실
1865년(26대 고종2년) 중건시작 2년공사후완공
   임진왜란때 소실후 270여년후 복구한것
1873년(고종10년) 건청궁 건축
1895년(고종 32년) 을미사변ㅡ건청궁 옥호루
1910년 경술국치후 훼손시작
1915년 조선물산공진회 개최 빌미로 전각철거
     한일병합 5주년행사로 근대화발전 이라는 식민통치의 결과물 선전수단으로 농산물 광산물 공산품 교육 위생 토목 미술품등 조선의 물산을 전시함
1926년 일제강점기 조선총독부 청사건축
1990년 복원공사시작
1995년 조선총독부 청사 철거 2년소요 접기"
5.0,2025.12.09.,단풍이 물든 경복궁은 산책하기 좋아요
5.0,2025.11.30.,뷰가 아주 좋고 시설도 좋다.
5.0,2025.11.26.,For  Our beloved Free Korea  내란은 없었다 쭝궈런 아웃 멸공
5.0,2025.11.22.,"한국인보다 외국인이 왜 더 많을까?
우리나라에 있는 데인데"
